Javaバージョン	JEP URL	Title	Type	Component
14	https://openjdk.org/jeps/345	JEP 345: NUMA-Aware Memory Allocation for G1	Feature	hotspot / gc
14	https://openjdk.org/jeps/349	JEP 349: JFR Event Streaming	Feature	hotspot / jfr
14	https://openjdk.org/jeps/352	JEP 352: Non-Volatile Mapped Byte Buffers	Feature	core-libs / java.nio
14	https://openjdk.org/jeps/358	JEP 358: Helpful NullPointerExceptions	Feature	hotspot / runtime
14	https://openjdk.org/jeps/359	JEP 359: Records (Preview)	Feature	specification / language
14	https://openjdk.org/jeps/361	JEP 361: Switch Expressions	Feature	specification / language
14	https://openjdk.org/jeps/362	JEP 362: Deprecate the Solaris and SPARC Ports	Feature	-
14	https://openjdk.org/jeps/363	JEP 363: Remove the Concurrent Mark Sweep (CMS) Garbage Collector	Feature	hotspot / gc
14	https://openjdk.org/jeps/364	JEP 364: ZGC on macOS (Experimental)	Feature	hotspot / gc
14	https://openjdk.org/jeps/365	JEP 365: ZGC on Windows (Experimental)	Feature	hotspot / gc
14	https://openjdk.org/jeps/366	JEP 366: Deprecate the ParallelScavenge + SerialOld GC Combination	Feature	hotspot / gc
14	https://openjdk.org/jeps/367	JEP 367: Remove the Pack200 Tools and API	Feature	tools / jar
14	https://openjdk.org/jeps/368	JEP 368: Text Blocks (Second Preview)	Feature	specification / language
14	https://openjdk.org/jeps/370	JEP 370: Foreign-Memory Access API (Incubator)	Feature	core-libs
16	https://openjdk.org/jeps/338	JEP 338: Vector API (Incubator)	Feature	hotspot / compiler
16	https://openjdk.org/jeps/347	JEP 347: Enable C++14 Language Features	Infrastructure	hotspot / other
16	https://openjdk.org/jeps/357	JEP 357: Migrate from Mercurial to Git	Infrastructure	infrastructure
16	https://openjdk.org/jeps/369	JEP 369: Migrate to GitHub	Infrastructure	infrastructure
16	https://openjdk.org/jeps/376	JEP 376: ZGC: Concurrent Thread-Stack Processing	Feature	hotspot / gc
16	https://openjdk.org/jeps/380	JEP 380: Unix-Domain Socket Channels	Feature	core-libs / java.nio
16	https://openjdk.org/jeps/386	JEP 386: Alpine Linux Port	Feature	hotspot / runtime
16	https://openjdk.org/jeps/387	JEP 387: Elastic Metaspace	Feature	hotspot / runtime
16	https://openjdk.org/jeps/388	JEP 388: Windows/AArch64 Port	Feature	hotspot / runtime
16	https://openjdk.org/jeps/389	JEP 389: Foreign Linker API (Incubator)	Feature	core-libs
16	https://openjdk.org/jeps/390	JEP 390: Warnings for Value-Based Classes	Feature	-
16	https://openjdk.org/jeps/392	JEP 392: Packaging Tool	Feature	tools / jpackage
16	https://openjdk.org/jeps/393	JEP 393: Foreign-Memory Access API (Third Incubator)	Feature	core-libs
16	https://openjdk.org/jeps/394	JEP 394: Pattern Matching for instanceof	Feature	specification / language
16	https://openjdk.org/jeps/395	JEP 395: Records	Feature	specification / language
16	https://openjdk.org/jeps/396	JEP 396: Strongly Encapsulate JDK Internals by Default	Feature	-
16	https://openjdk.org/jeps/397	JEP 397: Sealed Classes (Second Preview)	Feature	specification / language
20	https://openjdk.org/jeps/429	JEP 429: Scoped Values (Incubator)	Feature	core-libs
20	https://openjdk.org/jeps/432	JEP 432: Record Patterns (Second Preview)	Feature	specification / language
20	https://openjdk.org/jeps/433	JEP 433: Pattern Matching for switch (Fourth Preview)	Feature	specification / language
20	https://openjdk.org/jeps/434	JEP 434: Foreign Function & Memory API (Second Preview)	Feature	core-libs
20	https://openjdk.org/jeps/436	JEP 436: Virtual Threads (Second Preview)	Feature	core-libs
20	https://openjdk.org/jeps/437	JEP 437: Structured Concurrency (Second Incubator)	Feature	core-libs
20	https://openjdk.org/jeps/438	JEP 438: Vector API (Fifth Incubator)	Feature	core-libs
13	https://openjdk.org/jeps/350	JEP 350: Dynamic CDS Archives	Feature	hotspot / runtime
13	https://openjdk.org/jeps/351	JEP 351: ZGC: Uncommit Unused Memory (Experimental)	Feature	hotspot / gc
13	https://openjdk.org/jeps/353	JEP 353: Reimplement the Legacy Socket API	Feature	core-libs / java.net
13	https://openjdk.org/jeps/354	JEP 354: Switch Expressions (Second Preview)	Feature	specification / language
13	https://openjdk.org/jeps/355	JEP 355: Text Blocks (Preview)	Feature	specification / language
